2015-07-13,2015-07-13,2015-07-13,2015-07-13,"{""string1"":""2015-07-13""                       ,""string2"":""2015-07-13""                       ,""string3"":""2015-07-13""                       }" 
2015-07-13 UTC,2015-07-13 UTC,2015-07-13 UTC,2015-07-13 UTC,"{""string1"":""2015-07-13 UTC""                   ,""string2"":""2015-07-13 UTC""                   ,""string3"":""2015-07-13 UTC""                   }"   
2015-07-13 00:00:00,2015-07-13 00:00:00,2015-07-13 00:00:00,2015-07-13 00:00:00,"{""string1"":""2015-07-13 00:00:00""              ,""string2"":""2015-07-13 00:00:00""              ,""string3"":""2015-07-13 00:00:00""              }"  
2015-07-12 16:00:00 UTC,2015-07-12 16:00:00 UTC,2015-07-12 16:00:00 UTC,2015-07-12 16:00:00 UTC,"{""string1"":""2015-07-12 16:00:00 UTC""          ,""string2"":""2015-07-12 16:00:00 UTC""          ,""string3"":""2015-07-12 16:00:00 UTC""          }"   
2015-07-12 16:00:00.1 UTC,2015-07-12 16:00:00.1 UTC,2015-07-12 16:00:00.1 UTC,2015-07-12 16:00:00.1 UTC,"{""string1"":""2015-07-12 16:00:00.1 UTC""        ,""string2"":""2015-07-12 16:00:00.1 UTC""        ,""string3"":""2015-07-12 16:00:00.1 UTC""        }"  
2015-07-12 16:00:00.12 UTC,2015-07-12 16:00:00.12 UTC,2015-07-12 16:00:00.12 UTC,2015-07-12 16:00:00.12 UTC,"{""string1"":""2015-07-12 16:00:00.12 UTC""       ,""string2"":""2015-07-12 16:00:00.12 UTC""       ,""string3"":""2015-07-12 16:00:00.12 UTC""       }"  
2015-07-12 16:00:00.123 UTC,2015-07-12 16:00:00.123 UTC,2015-07-12 16:00:00.123 UTC,2015-07-12 16:00:00.123 UTC,"{""string1"":""2015-07-12 16:00:00.123 UTC""      ,""string2"":""2015-07-12 16:00:00.123 UTC""      ,""string3"":""2015-07-12 16:00:00.123 UTC""      }" 
2015-07-12 16:00:00.1234 UTC,2015-07-12 16:00:00.1234 UTC,2015-07-12 16:00:00.1234 UTC,2015-07-12 16:00:00.1234 UTC,"{""string1"":""2015-07-12 16:00:00.1234 UTC""     ,""string2"":""2015-07-12 16:00:00.1234 UTC""     ,""string3"":""2015-07-12 16:00:00.1234 UTC""     }"
2015-07-12 16:00:00.12345 UTC,2015-07-12 16:00:00.12345 UTC,2015-07-12 16:00:00.12345 UTC,2015-07-12 16:00:00.12345 UTC,"{""string1"":""2015-07-12 16:00:00.12345 UTC""    ,""string2"":""2015-07-12 16:00:00.12345 UTC""    ,""string3"":""2015-07-12 16:00:00.12345 UTC""    }"
2015-07-12 16:00:00.123456 UTC,2015-07-12 16:00:00.123456 UTC,2015-07-12 16:00:00.123456 UTC,2015-07-12 16:00:00.123456 UTC,"{""string1"":""2015-07-12 16:00:00.123456 UTC""   ,""string2"":""2015-07-12 16:00:00.123456 UTC""   ,""string3"":""2015-07-12 16:00:00.123456 UTC""   }" 
2015-07-12 16:00:00.1234567 UTC,2015-07-12 16:00:00.1234567 UTC,2015-07-12 16:00:00.1234567 UTC,2015-07-12 16:00:00.1234567 UTC,"{""string1"":""2015-07-12 16:00:00.1234567 UTC""  ,""string2"":""2015-07-12 16:00:00.1234567 UTC""  ,""string3"":""2015-07-12 16:00:00.1234567 UTC""  }" 
2015-07-12 16:00:00.12345678 UTC,2015-07-12 16:00:00.12345678 UTC,2015-07-12 16:00:00.12345678 UTC,2015-07-12 16:00:00.12345678 UTC,"{""string1"":""2015-07-12 16:00:00.12345678 UTC"" ,""string2"":""2015-07-12 16:00:00.12345678 UTC"" ,""string3"":""2015-07-12 16:00:00.12345678 UTC"" }" 
2015-07-12 16:00:00.123456789 UTC,2015-07-12 16:00:00.123456789 UTC,2015-07-12 16:00:00.123456789 UTC,2015-07-12 16:00:00.123456789 UTC,"{""string1"":""2015-07-12 16:00:00.123456789 UTC"",""string2"":""2015-07-12 16:00:00.123456789 UTC"",""string3"":""2015-07-12 16:00:00.123456789 UTC""}" 

